id,text,cat_val
1,"Everyone; Vaxxed or Unvaxxed whatever your choice, should reject any form of Vacccine Passport. This will be the beginning of the end of freedom as we know it. Chained to a system, of THIER making, with no escape. No one wins, EVERYONE will lose! See the bigger picture!!",M
2,@Carolramsden6 @RF_Jenkins @zoeharcombe How about doing some serious research? I suggest start with Cutter incident. It’s what put loads of vaxxed people into the iron lungs. Contaminated polio vaccine. And don’t stop there. Keep digging.,R
3,I don’t take medical advice from anybody who has ever publicly advocated human depopulation.,G
4,Covid 19 has been very well planned for years.  It’s about climate change by lockdowns and depopulation by vaccines!,G
5,"The unvaccinated will need a negative test to travel. 
The vaccinated can still spread and catch the virus but don’t need to do a test before travelling so the vaccinated will be the ones spreading the virus 🤷🏼‍♀️",M
6,"My fully vaxxed 85 yo dad told me he doesn't think my son -- who rents a room from a quiet couple, masks religiously, works PT and attends college online -- is 'careful' enough for my parents to see.

It's a canny government that utterly destroys family ties to seize control.",G
7,@ThomasC56881574 @Carti_Mandua @BritishAlba @labourlewis @GuidoFawkes @LeaveEUOfficial All I care about frankly is not letting two morally bankrupt parties turn this Country into a two tier hell hole by creating a two tier society by way of internal vaccination passports leveraging an in group (vaccinated) against an out group (unvaccinated) I mean 2/,M
8,@Bobby_Network @TribeIceni I personally am super excited to get my depopulation jab made by Gates next week 😍🤩🙄🤡 oh and the free doughnut that goes with it. 👍,G
9,"Remember, for Covid passports to ‘make sense’ they must stop any unvaccinated person putting one foot through an entrance of a pub.
So all this age ID comparisons need to stop, as they’re stupidly wrong.

This means manned entrances to pubs 7 days a week, 
open until close.

LOL",M
10,"Wristbands and dining cards: New Army policies exclude, isolate unvaccinated | Opinion | LifeSite https://t.co/jiLk3zpu3E",M
11,@DevinCow 🤔 'oxygen starved' is a bit of a stretch but masks are damaging - medically they are filthy/dangerous &amp; socially a form of control &amp; damaging to humanity. She knows her stuff about cytokine storms tho &amp; this vax should never have been approved pre 2023. The vaxxed are in trouble,M
12,@MrHarryCole @MattHancock Depopulation,G
13,@dhill6261976 @MargoLee Lmao fully vaxxed and still wearing masks. Why don’t you try boosting your immunization. Or is the basic human immune system a conspiracy to you lunatics now also ?,M
14,@EWTNVatican At least they keeps record on these people and soon will know how many of them will die months after taking this vaccine. Globalist Pope depopulation homeless at Vatican.,G
15,"Vaccinating under threat of losing human rights is not voluntary consent. When your rights become limited as a punishment for refusal, the consent is coerced and is in effect just blackmail.
#medicalblackmail, #medicalmafia, #medicalfreedom",M
16,"""But what the results of the study do demonstrate to a reasonable degree of certainty is that his unvaccinated patients are healthier than vaccinated children and place less of a burden on the health care system.""
https://t.co/4VxNlml8zE",R
18,"What do we do now, get to know your neighbours divide into groups of like minded people stick together at moments notice by this June it will start to get heavier on restrictions .This IS a WAR on us a depopulation agenda don't ffs have anything more to do with this jab.",G
19,"@Jamie27leics It is selfish behaviour, in the extreme, demanding people get mandatorily vaxxed.",M
20,"@GiveBloodNHS are you segregating blood donated from vaccinated and unvaccinated people?
Are you prepared for lawsuits from people that you may infect with genetically modified blood?

@L4L_UK",R
21,"Blatantly obvious emotional manipulation of the public. ""Do it for grandma."" ""Do it to protect the children."" The staff was in tears when they didn't show up... All lies to demonize the unvaccinated and portray them as selfish, cold hearted killers. See where this is going yet???",G
23,"@HowleyReporter @presidentchamp Look people all the nwo puppets are getting vaxxed, why can't you do it?  😏",G
24,"@TVpsychologist @caren_macleod @NHSuk The vaccinated cohort enjoy near-perfect protection per real world data. There's nil marginal protection from adjacent persons being vaxxed. Even if it were not so, you cannot demand vicarious immunity of others any more than you can demand their kidneys.

Just f**k off.",M
25,"This Guy is a Puppet a #NWO #Globalists Puppet He’s following #TheGreatReset Script as told by his masters and the #WEF #KlausSchwab they will keep you locked down it won’t end #BuildBackBetter #rewilding #Depopulation #populationcontrol #Agenda2030 

 https://t.co/rcxGHqGAKW",G
26,"I'm really struggling to get my head around why people who are vaccinated are scared of the unvaccinated.

""I don't want to be treated in hospital by someone who is unvaccinated!"" 

Is it me? Am I the crazy one?",M
27,"BREAKING NEWS: Chief Science Officer of Pfizer, Dr. Michael Yeadon said it’s ‘entirely possible’ vaccine campaigns ‘will be used for massive-scale depopulation’ https://t.co/cvoCB7zSs2",G
28,Yes ! This what happens when the government is corrupt and it’s only concern is depopulation! https://t.co/bKMWGB9lK7,G
29,@battleaxeBrit1 @anonymous4835 It's about power. Lockdowns &amp; depopulation are just a means to ensure the power that's usurped is never reclaimed by the populace.,G
30,"Former Pfizer VP Sounds Alarm: COVID-19 Vaccine Campaign ""Madness"" That May Be Used For ""Massive-Scale Depopulation"" https://t.co/1Ze99HpDnK via @en_volve",G
31,"@RealJoelSmalley Bound to be a loophole to say it’s a risk to have unvaccinated people coming into hospitals.... the ultimate coercion, never mind going to the pub, you won’t get life saving treatment because it’s - ooh - too risky ....",M
32,"The world Bill Gates dreams of is becoming a reality. 

Up next, you can’t enter these buildings because you’re unvaccinated... https://t.co/oicdskp5O3",G
33,"Why is it that Americans need a ""vaccine passport"" to travel freely in our own country, but unvaccinated illegal immigrants can cross our border by the thousands?",M
34,@Swamy39 @NewIndianXpress Two benefits. Philanthropist Modi &amp; Local Depopulation.,G
35,Exclusive: Former Pfizer VP to AFLDS: ‘Entirely possible this will be used for massive-scale depopulation’ – America's Frontline Doctors https://t.co/3gWmlVr7Ox,G
36,@KathyConWom Who in their right mind would give this to their children?! Safe? How the bloody hell do they know how it will affect children in future years. Even the manufacturers explain that they do not know how it affects fertility. Could the depopulation theorists be  right on this one?,R
37,"@AndrewJMullen @SimonPearson961 @SteveBakerHW @bobscartoons Do you think it’ll stop at Covid status. Imagine swapping Covid for HIV - how comfortable would you feel about that. It’s pubs now but no doubt it’ll be gyms, transport, sporting events. A two tier society where you’re left out if unvaccinated.",M
38,@GerHerbert1 As healthcare workers are vaccinated why are we not allowed to attend hospital with our loved ones? Partners attend maternity appointments? Is it because they still don’t want large numbers indoors? I’m not sure but if it’s ok for unvaccinated teachers - why not hospitals?,M
39,"‘Entirely possible this will be used for massive-scale depopulation’ — Physician Group | SOTN: Alternative News, Analysis &amp; Commentary https://t.co/PQAfa7Xebw",G
40,"Just watch and see. Their lies and manipulation will have the brainwashed masses violently hating the unvaccinated and have them screaming ""off with their heads!"" And the government will be ready with the guillotines.....",G
41,Unvaccinated vs vaccinated: they will both still transmit the virus but the freedom of movement of the first will be restricted. What is the medical explanation for that? There is none. It's a clearly political decision -not scientific- in order to facilitate coercion.,M
42,@TheLitt81281992 @AI_Clayton For depopulation ...,G
44,"🔴Bombshell
Former Pfizer VP &amp; Chief Science Officer says campaign could be used as a depopulation agenda ...and warned that to inject mass population with experimental vaccines is madness &amp; pure evil
Full Broadcast on https://t.co/3lGBLSncmB Situation Update",G
45,"@rantsofmich @AC43539974 @RaoulGMI @capitalistexp @LibertyBlitz @DavidBCollum Big difference ! Give everyone a jews star just like in ww2 great idea! Your not vaxxed for a virus that 99% of people will survive you cant go to festivalls ,supermarkets and more.. great idea indeed..",M
47,"🚨GARZA NOT SUBTLE ABOUT COLLUDING W/BURGHARDTS ON DEPOPULATION PLAN. FEMA CAMP JUST OPENED ON NATIONAL IN OLD WALMART 

SURRENDER JOE! YOU ARE SICK.

@journalsentinel @WiStateJournal
https://t.co/dHeXxbgCIr

#NEWBERLIN #DEPOPULATION #mkultra #mindcontrol #bloodcult https://t.co/bahnz2gMOF",G
48,"@JaniceW78256134 All looking very suspect for sure. Breakthrough Covid in fully vaxxed people in the US also. It’s a bad, mad world.",G
49,@Mrtdogg @HektikPaule What their heads explode when women choose not to be vaxxed😆,M
